Course Name,University,University Type,Degree Type,Duration,Language,Course Code,Course Area,Website
Chemical innovation and regulation,Alma Mater Studiorum - University of Bologna,Public,Masters,2,EN,LM-54 R,Chemical Sciences,https://corsi.unibo.it/2cycle/ChemicaInnovationRegulation
Chemical Nano-Engineering,"University of Rome ""Tor Vergata""",Public,Masters,2,EN,LM-71 R,Industrial Chemistry Sciences and Technologies,http://chem-nano-eng.uniroma2.it/
Chemistry,University of Calabria,Public,Masters,2,EN,LM-54 R,Chemical Sciences,https://www.unical.it/storage/cds/19145/
Chemistry,University of Siena,Public,Masters,2,EN,LM-54 R,Chemical Sciences,https://chemistry.unisi.it
Chemistry,University of Camerino,Public,Masters,2,EN,LM-54 R,Chemical Sciences,https://didattica.unicam.it/Guide/PaginaCorso.do?corso_id=10030
CIRCULAR ECONOMY,University of TUSCIA,Public,Masters,2,EN,LM-76 R,Economic Sciences for the Environment and Culture,http://www.unitus.it/it/dipartimento/deim-economia/economia-circolare-econ-deim/articolo/economia-circolare-econ-deim1
Civil and Environmental Engineering,University of Cassino and Southern Lazio,Public,Masters,2,EN,LM-23 R,Civil Engineering,https://unicas-public.gomp.it/PublicData?uid=adbd6c1f-8e70-486b-accb-887dbfb2225f&mode=CourseDetail&iso=ita&academicYear=2024
Civil and Environmental Engineering,University of Brescia,Public,Masters,2,EN,LM-35 R,Environmental and Territorial Engineering,https://permalink.unibs.it/suacds/2025/05853R/infogen
Civil Engineering,Alma Mater Studiorum - University of Bologna,Public,Masters,2,EN,LM-23 R,Civil Engineering,http://corsi.unibo.it/civil-engineering
CIVIL ENGINEERING FOR INFRASTRUCTURAL REGENERATION,University of Calabria,Public,Masters,2,EN,LM-23 R,Civil Engineering,https://corsi.unical.it/lm/civil-engineering-for-infrastructural-regeneration/
Civil Engineering for Mitigation of Risk from Natural Hazards,University of Pavia,Public,Masters,2,EN,LM-23 R,Civil Engineering,http://civrisk.unipv.it/
Civil Engineering for Risk Mitigation,Polytechnic University of Milan,Public,Masters,2,EN,LM-23 R,Civil Engineering,https://www.master-cerm.polimi.it
CLINICAL AND EXPERIMENTAL BIOLOGY,University of Foggia,Public,Masters,2,EN,LM-6 R,Biology,https://www.unifg.it/it/studiare/corsi-di-laurea/lauree-magistrali/clinical-and-experimental-biology
"Clinical, social and intercultural psychology",University of Padua,Public,Masters,2,EN,LM-51 R,Psychology,https://www.unipd.it/offerta-didattica/corso-di-laurea-magistrale/psicologia?tipo=LM&scuola=PS&ordinamento=2025&key=PS2965&cg=psicologia
Coastal and Marine Biology and Ecology,University of Salento,Public,Masters,2,EN,LM-6 R,Biology,https://www.unisalento.it/didattica/cosa-studiare/corsi-di-laurea-magistrale/-/dettaglio/corso/LM51/coastal-and-marine-biology-and-ecology
Cognitive Forensic Sciences,"University of Rome ""La Sapienza""",Public,Masters,2,EN,LM-55 R,Cognitive Sciences,https://corsidilaurea.uniroma1.it/it/course/33583
Cognitive neuroscience,"University of Rome ""La Sapienza""",Public,Masters,2,EN,LM-51 R,Psychology,https://corsidilaurea.uniroma1.it/it/course/33574
Cognitive Neuroscience and Clinical Neuropsychology,University of Padua,Public,Masters,2,EN,LM-51 R,Psychology,https://www.unipd.it/offerta-didattica/corso-di-laurea-magistrale/psicologia?tipo=LM&scuola=PS&ordinamento=2025&key=PS2966&cg=psicologia
Cognitive Science,University of Trento,Public,Masters,2,EN,LM-55 R,Cognitive Sciences,https://corsi.unitn.it/en/cognitive-science
Cognitive science and theory of communication,University of Messina,Public,Masters,2,EN,LM-55 R,Cognitive Sciences,https://cognitive-science-and-theory-of-communication.cdl.unime.it/en
Communication Engineering,University of Parma,Public,Masters,2,EN,LM-27,Telecommunications Engineering,https://corsi.unipr.it/it/cdlm-ce
Communication Technologies and Multimedia,University of Brescia,Public,Masters,2,EN,LM-27,Telecommunications Engineering,https://permalink.unibs.it/suacds/2025/05812R/infogen
Communications Engineering,Polytechnic University of Turin,Public,Masters,2,EN,LM-27,Telecommunications Engineering,https://www.polito.it/corsi/37-467
Communications Engineering,Alma Mater Studiorum - University of Bologna,Public,Masters,2,EN,LM-27,Telecommunications Engineering,http://corsi.unibo.it/2Cycle/TelecommunicationsEngineering
Communications Engineering,University of Catania,Public,Masters,2,EN,LM-27,Telecommunications Engineering,http://www.dieei.unict.it/corsi/lm-27
COMMUNICATIONS ENGINEERING,University of PISA,Public,Masters,2,EN,LM-27,Telecommunications Engineering,https://www.tlc.ing.unipi.it/
Computational Finance,University of Padua,Public,Masters,2,EN,LM-16 R,Finance,https://www.unipd.it/offerta-didattica/corso-di-laurea-magistrale/scienze?tipo=LM&scuola=SC&ordinamento=2025&key=SC2993&cg=scienze
Computational Social and Political Science,University of Milan,Public,Masters,2,EN,LM-62 R,Political Sciences,
Computer engineering,University of Padua,Public,Masters,2,EN,LM-32,Computer Engineering,https://www.unipd.it/offerta-didattica/corso-di-laurea-magistrale/ingegneria?ordinamento=2025&key=IN2547&tipo=LM&scuola=IN
Computer Engineering,University of Genoa,Public,Masters,2,EN,LM-32,Computer Engineering,https://corsi.unige.it/corsi/11965
Computer Engineering,University of Trieste,Public,Masters,2,EN,LM-32,Computer Engineering,https://degree.units.it/2-computer-engineering
Computer Engineering,University of Pavia,Public,Masters,2,EN,LM-32,Computer Engineering,http://mpce.unipv.eu/
COMPUTER ENGINEERING,University of PISA,Public,Masters,2,EN,LM-32,Computer Engineering,https://computer.ing.unipi.it/ce-lm
Computer Engineering for Intelligent Systems,University of Verona,Public,Masters,2,EN,LM-32,Computer Engineering,https://www.corsi.univr.it/?ent=cs&id=1291
"Computer Engineering, Cybersecurity and Artificial Intelligence",University of Cagliari,Public,Masters,2,EN,LM-32,Computer Engineering,https://www.unica.it/unica/it/crs_70_90.page
Computer Science,University of Padua,Public,Masters,2,EN,LM-18,Informatics,https://www.unipd.it/offerta-didattica/corso-di-laurea-magistrale/scienze?tipo=LM&scuola=SC&ordinamento=2025&key=SC2598&cg=scienze
COMPUTER SCIENCE,University of PISA,Public,Masters,2,EN,LM-18,Informatics,https://www.di.unipi.it/en/education/mcs
computer science,University of Bari Aldo Moro,Public,Masters,2,EN,LM-18,Informatics,https://www.uniba.it/it/corsi/cdl-computer-science/corso-di-laurea-in-computer-science
Computer Science,University of Genoa,Public,Masters,2,EN,LM-18,Informatics,https://corsi.unige.it/en/corsi/11964
Computer Science,University of Trento,Public,Masters,2,EN,LM-18,Informatics,https://corsi.unitn.it/it/informatica-magistrale
Computer Science,"University of Rome ""La Sapienza""",Public,Masters,2,EN,LM-18,Informatics,https://corsidilaurea.uniroma1.it/it/course/33508
Computer Science and Artificial Intelligence,University of Palermo,Public,Masters,2,EN,LM-18,Informatics,
Computer Science and Engineering,Polytechnic University of Milan,Public,Masters,2,EN,LM-32,Computer Engineering,https://www.inginformatica.polimi.it/
Computer Science and Information Technology,Ca' Foscari University of Venice,Public,Masters,2,EN,LM-18,Informatics,http://www.unive.it/cdl/cm90
Conservation Science and Technology for Cultural Heritage,Ca' Foscari University of Venice,Public,Masters,2,EN,LM-11 R,Sciences for the conservation of cultural heritage,http://www.unive.it/cdl/cmr60
Control Engineering,"University of Rome ""La Sapienza""",Public,Masters,2,EN,LM-25,Automation Engineering,https://corsidilaurea.uniroma1.it/it/course/33509
CONTROL SYSTEMS AND AUTOMATION ENGINEERING,University of L'Aquila,Public,Masters,2,EN,LM-25,Automation Engineering,https://www.disim.univaq.it/degree.php?section=iscritti
Control systems engineering,University of Padua,Public,Masters,2,EN,LM-25,Automation Engineering,https://www.unipd.it/offerta-didattica/corso-di-laurea-magistrale/ingegneria?ordinamento=2025&key=IN2546&tipo=LM&scuola=IN
Cosmetic Industrial Science,University of Milan,Public,Masters,2,EN,LM-71 R,Industrial Chemistry Sciences and Technologies,https://cosmis.cdl.unimi.it
Cultural Heritage and Creativity for tourism and territorial development,University of Turin,Public,Masters,2,EN,LM-49 R,Planning and management of tourism systems,https://www.culturalheritage.unito.it/do/home.pl
"Cultural Heritage in the Near and Middle East, and in Africa","University of Rome ""La Sapienza""",Public,Masters,2,EN,LM-2 R,Archeology,https://corsidilaurea.uniroma1.it/it/course/33541
"Cultural, Intellectual and Visual History",University of Milan,Public,Masters,2,EN,LM-84 R,Historical sciences,https://visual.cdl.unimi.it/en
Curating Arts and Heritage in Intercultural Perspectives,IUAV University of Venice,Public,Masters,2,EN,LM-89 R,History of art,https://www.iuav.it/it/didattica/lauree-magistrali
Cybersecurity,University of Padua,Public,Masters,2,EN,LM-66 R,Cybersecurity,https://www.unipd.it/offerta-didattica/corso-di-laurea-magistrale/scienze?tipo=LM&scuola=SC&ordinamento=2025&key=SC3005&cg=scienze
Cybersecurity,"University of Rome ""La Sapienza""",Public,Masters,2,EN,LM-66 R,Cybersecurity,https://corsidilaurea.uniroma1.it/it/course/33516
CYBERSECURITY,University of PISA,Public,Masters,2,EN,LM-66 R,Cybersecurity,https://cysec.unipi.it/
Cybersecurity Engineering,Polytechnic University of Turin,Public,Masters,2,EN,LM-32,Computer Engineering,https://www.polito.it/corsi/32-468
Data Analytics for Business and Society,Ca' Foscari University of Venice,Public,Masters,2,EN,LM-91 R,Techniques and methods for the digital society,http://www.unive.it/cdl/emr14
Data Science,University of Messina,Public,Masters,2,EN,LM-Data,Data science,https://data-science.cdl.unime.it/en
Data Science,University of Verona,Public,Masters,2,EN,LM-Data,Data science,https://www.corsi.univr.it/?ent=cs&id=1175
Data Science,"University of Rome ""La Sapienza""",Public,Masters,2,EN,LM-Data,Data science,https://corsidilaurea.uniroma1.it/it/course/33519
DATA SCIENCE,"University of Campania ""Luigi Vanvitelli""",Public,Masters,2,EN,LM-Data,Data science,https://www.matfis.unicampania.it/didattica/corsi-di-studio/corso-di-laurea-magistrale-in-data-science
Data Science,University of Catania,Public,Masters,2,EN,LM-Data,Data science,
Data science,University of Trento,Public,Masters,2,EN,LM-Data,Data science,https://corsi.unitn.it/en/data-science
Data science,University of Naples Federico II,Public,Masters,2,EN,LM-Data,Data science,
Data Science,University of Padua,Public,Masters,2,EN,LM-Data,Data science,https://www.unipd.it/offerta-didattica/corso-di-laurea-magistrale/scienze?tipo=LM&scuola=SC&ordinamento=2025&key=SC2738&cg=scienze
DATA SCIENCE,University of Milan-Bicocca,Public,Masters,2,EN,LM-Data,Data science,https://elearning.unimib.it/course/index.php?categoryid=9172&lang=en
DATA SCIENCE AND ARTIFICIAL INTELLIGENCE,University of Trieste,Public,Masters,2,EN,LM-Data,Data science,https://degree.units.it/2-data-science-ai
DATA SCIENCE AND BUSINESS INFORMATICS,University of PISA,Public,Masters,2,EN,LM-18,Informatics,https://didattica.di.unipi.it/en/master-programme-in-data-science-and-business-informatics/
Data Science and Engineering,Polytechnic University of Turin,Public,Masters,2,EN,LM-32,Computer Engineering,https://www.polito.it/corsi/37-470
APPLIED DATA SCIENCE,University of L'Aquila,Public,Masters,2,EN,LM-Data,Data science,https://www.disim.univaq.it/degree0b5a.html?section=single-0A01&degree_id=10
Data Science for Economics and Health,University of Milan,Public,Masters,2,EN,LM-Data,Data science,https://dseh.cdl.unimi.it/en
Data Science for Management,University of Parma,Public,Masters,2,EN,LM-Data,Data science,
Decision Science,University of Bari Aldo Moro,Public,Masters,2,EN,LM-55 R,Cognitive Sciences,
Design & Engineering,Polytechnic University of Milan,Public,Masters,2,EN,LM-12 R,Design,https://www.design.polimi.it/it
Design for the Built Environment,University of Naples Federico II,Public,Masters,2,EN,LM-12 R,Design,http://www.diarc.dbe.unina.it
Design for the Fashion System,Polytechnic University of Milan,Public,Masters,2,EN,LM-12 R,Design,http://www.moda.polimi.it
Design of sustainable tourism systems,University of Florence,Public,Masters,2,EN,LM-49 R,Planning and management of tourism systems,http://www.dsts.unifi.it
Digital and Interaction Design,Polytechnic University of Milan,Public,Masters,2,EN,LM-12 R,Design,http://www.digitalinteractiondesign.polimi.it
Digital and Public Humanities,Ca' Foscari University of Venice,Public,Masters,2,EN,LM-43 R,Computer Methodologies for the Humanities,http://www.unive.it/cdl/FMR11
Digital Automation Engineering,University of Modena and Reggio Emilia,Public,Masters,2,EN,LM-25,Automation Engineering,https://www.dismi.unimore.it/it/didattica/corsi-di-laurea-magistrale-informazioni-generali/digital-automation-engineering
Digital humanities and digital knowledge,Alma Mater Studiorum - University of Bologna,Public,Masters,2,EN,LM-43 R,Computer Methodologies for the Humanities,http://corsi.unibo.it/2cycle/digitalhumanitiesdigitalknowledge
DIGITAL INTELLIGENCE AND CHANGE MANAGEMENT,University of PISA,Public,Masters,2,EN,LM-77 R,Business and Economics,
Digital Skills for Sustainable Societal Transitions,Polytechnic University of Turin,Public,Masters,2,EN,LM-91 R,Techniques and methods for the digital society,https://www.polito.it/corsi/81-83
"Digital Society, Social Innovation and Global Citizenship",University of Naples Federico II,Public,Masters,2,EN,LM-92 R,Communication theories,
Digital transformation management,Alma Mater Studiorum - University of Bologna,Public,Masters,2,EN,LM-91 R,Techniques and methods for the digital society,https://corsi.unibo.it/2cycle/DigitalTransformationManagement
Disaster and Health Crisis Management,University of Eastern Piedmont,Public,Masters,2,EN,LM-81 R,Sciences for Development Cooperation,https://disste.uniupo.it/en/university-studies/course/disaster-health-crisis-management-ay-20252026
East European and Eurasian Studies,Alma Mater Studiorum - University of Bologna,Public,Masters,2,EN,LM-52 R,International Relations,http://corsi.unibo.it/2Cycle/mirees
Behavioural and Applied Economics,University of Trento,Public,Masters,2,EN,LM-56 R,Economic Sciences,https://corsi.unitn.it/en/behavioural-and-applied-economics
Economics and Finance,University of Naples Federico II,Public,Masters,2,EN,LM-56 R,Economic Sciences,http://www.dises.unina.it/didattica/corsi-di-laurea/lauree-magistrali/9359805-economics-and-finance/
ECONOMIC ANALYSIS AND POLICY,University of Turin,Public,Masters,2,EN,LM-56 R,Economic Sciences,https://www.didattica-cps.unito.it/do/home.pl/View?doc=/corsi_di_studio/economic_analysis_and_policy/presentazione.html
Economics,University of Siena,Public,Masters,2,EN,LM-56 R,Economic Sciences,https://economics.unisi.it
ECONOMICS,University of PISA,Public,Masters,2,EN,LM-56 R,Economic Sciences,https://www.ec.unipi.it/didattica/offerta-formativa/laurea-magistrale-in-economics/
ECONOMICS,University of Turin,Public,Masters,2,EN,LM-56 R,Economic Sciences,https://www.economics.unito.it/do/home.pl
ECONOMICS & DATA SCIENCE,University of Genoa,Public,Masters,2,EN,LM-56 R,Economic Sciences,https://corsi.unige.it/en/corsi/11937
Economics,"University of Rome ""Tor Vergata""",Public,Masters,2,EN,LM-56 R,Economic Sciences,https://economia.uniroma2.it/master-science/economics
Economics,University of UDINE,Public,Masters,2,EN,LM-56 R,Economic Sciences,https://www.uniud.it/it/didattica/corsi/area-economico-giuridica/economia/laurea-magistrale/economics-scienze-economiche
Economics and communication for management and innovation,"University of Rome ""La Sapienza""",Public,Masters,2,EN,LM-77 R,Business and Economics,https://corsidilaurea.uniroma1.it/it/course/33444
Economics and Data Analysis,University of Bergamo,Public,Masters,2,EN,LM-56 R,Economic Sciences,https://ls-eda.unibg.it/en
Economics and Data Analysis,University of Verona,Public,Masters,2,EN,LM-56 R,Economic Sciences,https://www.corsi.univr.it/?ent=cs&id=1307
ECONOMICS AND DEVELOPMENT,University of Florence,Public,Masters,2,EN,LM-56 R,Economic Sciences,http://www.economicsanddevelopment.unifi.it
Economics and Econometrics,Alma Mater Studiorum - University of Bologna,Public,Masters,2,EN,LM-56 R,Economic Sciences,http://corsi.unibo.it/lmec
Economics and Entrepreneurship,University of Cassino and Southern Lazio,Public,Masters,2,EN,LM-56 R,Economic Sciences,https://unicas-public.gomp.it/PublicData?uid=c681f0d9-18e5-48e7-862b-b78d28adc69f&mode=CourseDetail&iso=ita&academicYear=2023
Economics and Finance,University of Bergamo,Public,Masters,2,EN,LM-16 R,Finance,https://ls-ef.unibg.it/en
ECONOMICS AND MANAGEMENT OF CULTURAL RESOURCES AND TERRITORIES,Carlo Bo University of Urbino,Public,Masters,2,EN,LM-76 R,Economic Sciences for the Environment and Culture,https://www.uniurb.it/corsi/1757226
Economics and Management of Sustainable Food System,University of Parma,Public,Masters,2,EN,LM-77 R,Business and Economics,https://corsi.unipr.it/cdlm-emsfs
Economics and political science,University of Milan,Public,Masters,2,EN,LM-56 R,Economic Sciences,https://eps.cdl.unimi.it/en
Economics and Public Policy,Alma Mater Studiorum - University of Bologna,Public,Masters,2,EN,LM-56 R,Economic Sciences,https://corsi.unibo.it/2cycle/EconomicsPolicy
ECONOMICS AND TECHNOLOGIES FOR SUSTAINABILITY,University of Milan-Bicocca,Public,Masters,2,EN,LM-76 R,Economic Sciences for the Environment and Culture,https://elearning.unimib.it/F7603Q
ECONOMICS OF INNOVATION FOR SUSTAINABLE DEVELOPMENT,University of Turin,Public,Masters,2,EN,LM-56 R,Economic Sciences,https://www.eisd.unito.it
"Economics, Development and Innovation",University of Pavia,Public,Masters,2,EN,LM-56 R,Economic Sciences,https://medi.unipv.eu/
"Economics, Finance and Sustainability",Ca' Foscari University of Venice,Public,Masters,2,EN,LM-56 R,Economic Sciences,http://www.unive.it/cdl/emr15
Electric vehicle engineering,Alma Mater Studiorum - University of Bologna,Public,Masters,2,EN,LM-28,Electrical Engineering,https://corsi.unibo.it/2cycle/ElectricVehicleEngineering
Electrical engineering,University of Pavia,Public,Masters,2,EN,LM-28,Electrical Engineering,http://mpei.unipv.eu/
Electrical Engineering,University of Padua,Public,Masters,2,EN,LM-28,Electrical Engineering,https://www.unipd.it/offerta-didattica/corso-di-laurea-magistrale/ingegneria?tipo=LM&scuola=IN&ordinamento=2025&key=IN2808&cg=ingegneria
Electrical Engineering,Polytechnic University of Milan,Public,Masters,2,EN,LM-28,Electrical Engineering,https://www.elettrica.polimi.it/
Electrical Engineering for Digital Energy,University of Salerno,Public,Masters,2,EN,LM-28,Electrical Engineering,https://corsi.unisa.it/electrical-engineering-for-digital-energy
Electrical Engineering for Energy Transition,University of Genoa,Public,Masters,2,EN,LM-28,Electrical Engineering,https://corsi.unige.it/corsi/11955
Electrical Engineering for Sustainable Green Energy Transition,University of Catania,Public,Masters,2,EN,LM-28,Electrical Engineering,http://www.dieei.unict.it/corsi/lm-28
Electronic Engineering,University of Pavia,Public,Masters,2,EN,LM-29,Electronic Engineering,http://mpee.unipv.eu/
Electronic Engineering,University of Padua,Public,Masters,2,EN,LM-29,Electronic Engineering,https://www.unipd.it/offerta-didattica/corso-di-laurea-magistrale/ingegneria?ordinamento=2025&key=IN2645&tipo=LM&scuola=IN
Electronic Engineering,University of Genoa,Public,Masters,2,EN,LM-29,Electronic Engineering,https://corsi.unige.it/corsi/11970
Electronic Engineering,University of Catania,Public,Masters,2,EN,LM-29,Electronic Engineering,http://www.dieei.unict.it/corsi/lm-29
Electronic Engineering for Intelligent Vehicles,University of Parma,Public,Masters,2,EN,LM-29,Electronic Engineering,https://corsi.unipr.it/it/cdlm-eeiv
Electronics and communications engineering,University of Siena,Public,Masters,2,EN,LM-27,Telecommunications Engineering,https://electronics-communications.unisi.it
Electronics and Telecommunications Engineering,University of Palermo,Public,Masters,2,EN,LM-29,Electronic Engineering,https://www.unipa.it/ateneo/corsiteledidattica/electronics-and-telecommunication-engineering/
Electronics Engineering,University of Palermo,Public,Masters,2,EN,LM-29,Electronic Engineering,http://www.unipa.it/electronics
Electronics Engineering,Polytechnic University of Bari,Public,Masters,2,EN,LM-29,Electronic Engineering,https://poliba.coursecatalogue.cineca.it/corsi/2025/10266
Electronics Engineering,University of Modena and Reggio Emilia,Public,Masters,2,EN,LM-29,Electronic Engineering,https://www.ingmo.unimore.it/it/didattica/corsi-di-laurea-magistrale-informazioni-generali/electronics-engineering-english-taught
Electronics Engineering,Polytechnic University of Milan,Public,Masters,2,EN,LM-29,Electronic Engineering,https://www.elettronica.polimi.it/
ELECTRONICS ENGINEERING FOR AUTOMATION AND SENSING,University of Sannio in Benevento,Public,Masters,2,EN,LM-29,Electronic Engineering,https://unisannio.it/it/dipartimenti/ding/didattica/corsi-di-laurea-magistrale/electronics-engineering-automation-sensing-389
Energy Engineering,University of Padua,Public,Masters,2,EN,LM-30 R,Energy and Nuclear Engineering,https://www.unipd.it/offerta-didattica/corso-di-laurea-magistrale/ingegneria?tipo=LM&scuola=IN&ordinamento=2025&key=IN2929
Energy Engineering,University of Genoa,Public,Masters,2,EN,LM-30 R,Energy and Nuclear Engineering,https://corsi.unige.it/en/corsi/11917
Energy Engineering,University of Modena and Reggio Emilia,Public,Masters,2,EN,LM-30 R,Energy and Nuclear Engineering,https://www.dismi.unimore.it/it/didattica/corsi-di-laurea-magistrale-informazioni-generali
Engineering for Historic Building Rehabilitation,Alma Mater Studiorum - University of Bologna,Public,Masters,2,EN,LM-24,Building Systems Engineering,https://corsi.unibo.it/2cycle/EngineeringProcessesSystems/index.html
Engineering for Natural Risk Management,University of Genoa,Public,Masters,2,EN,LM-26 R,Safety Engineering,https://corsi.unige.it/en/corsi/11921
Engineering for the Energy Transition,University of Trieste,Public,Masters,2,EN,LM-24,Building Systems Engineering,https://degree.units.it/2-engineering-energy-transition
Engineering for the Food Industry,University of Parma,Public,Masters,2,EN,LM-33,Mechanical Engineering,http://cdlm-iimia.unipr.it/
Engineering in Computer Science,University of Messina,Public,Masters,2,EN,LM-32,Computer Engineering,https://engineering-in-computer-science.cdl.unime.it/en
Engineering in Computer Science and Artificial Intelligence,"University of Rome ""La Sapienza""",Public,Masters,2,EN,LM-32,Computer Engineering,https://corsidilaurea.uniroma1.it/it/course/33515
Engineering Management,University of Perugia,Public,Masters,2,EN,LM-31,Management Engineering,http://www.unipg.it/perm/offerta-formativa/2025/corso/7220
Engineering management,University of Siena,Public,Masters,2,EN,LM-31,Management Engineering,https://engineering-management.unisi.it
ENGINEERING OF PAPER AND CARDBOARD,University of PISA,Public,Masters,2,EN,LM-33,Mechanical Engineering,http://www.epc-masterdegree.it/
Engineering Physics,Polytechnic University of Milan,Public,Masters,2,EN,LM-44 R,Mathematical-physical modeling for engineering,https://www.ccs-fisica.polimi.it
Engineering Physics,Ca' Foscari University of Venice,Public,Masters,2,EN,LM-44 R,Mathematical-physical modeling for engineering,http://www.unive.it/cdl/cmr13
Engineering Technology for Strategy and Security,University of Genoa,Public,Masters,2,EN,LM/DS,Defense and Security Sciences,https://corsi.unige.it/en/corsi/11994
ENGLISH AND AMERICAN STUDIES,University of Turin,Public,Masters,2,EN,LM-37 R,Modern European and American Languages ​​and Literatures,https://www.lingue.unito.it/do/home.pl/View?doc=/Lauree_Magistrali/english_and_american_studies.html
English and Anglo-American Studies,"University of Rome ""La Sapienza""",Public,Masters,2,EN,LM-37 R,Modern European and American Languages ​​and Literatures,https://corsidilaurea.uniroma1.it/it/course/33548
Environmental and Food Economics,University of Milan,Public,Masters,2,EN,LM-76 R,Economic Sciences for the Environment and Culture,https://efe.cdl.unimi.it/en
Environmental and Sustainable Building Engineering,"University of Rome ""La Sapienza""",Public,Masters,2,EN,LM-24,Building Systems Engineering,https://corsidilaurea.uniroma1.it/it/course/33489
Environmental Change and Global Sustainability,University of Milan,Public,Masters,2,EN,LM-75 R,Science and technology for the environment and the territory,https://ecgs.cdl.unimi.it/en
Environmental Engineering,Polytechnic University of Marche,Public,Masters,2,EN,LM-35 R,Environmental and Territorial Engineering,https://www.ingegneria.univpm.it/offerta-formativa-2025
Environmental engineering,University of Genoa,Public,Masters,2,EN,LM-35 R,Environmental and Territorial Engineering,https://corsi.unige.it/en/corsi/11925
Environmental Engineering,University of Padua,Public,Masters,2,EN,LM-35 R,Environmental and Territorial Engineering,https://www.unipd.it/offerta-didattica/corso-di-laurea-magistrale/ingegneria?tipo=LM&scuola=IN&ordinamento=2025&key=IN2934&cg=ingegneria
Environmental Engineering for Risk Mitigation,University of Parma,Public,Masters,2,EN,LM-35 R,Environmental and Territorial Engineering,https://corsi.unipr.it/en/cdlm-eefrm
Environmental Engineering for the Green Transition,Ca' Foscari University of Venice,Public,Masters,2,EN,LM-35 R,Environmental and Territorial Engineering,https://unive.it/cdl/CMR15
ENVIRONMENTAL HAZARD AND DISASTER RISK MANAGEMENT,Polytechnic University of Marche,Public,Masters,2,EN,LM-75 R,Science and technology for the environment and the territory,https://www.disva.univpm.it/content/corso-di-laurea-rischio-ambientale-e-protezione-civile
Environmental Humanities,Ca' Foscari University of Venice,Public,Masters,2,EN,LM-1 R,Cultural anthropology and ethnology,http://www.unive.it/cdl/lmr10
European and Global Studies,University of Padua,Public,Masters,2,EN,LM-90 R,European Studies,https://www.unipd.it/offerta-didattica/corso-di-laurea-magistrale/economia-e-scienze-politiche?ordinamento=2025&key=EP2901&tipo=LM&scuola=EP
EUROPEAN AND INTERNATIONAL STUDIES,University of Trento,Public,Masters,2,EN,LM-52 R,International Relations,https://corsi.unitn.it/en/european-and-international-studies
European Economy and Business Law,"University of Rome ""Tor Vergata""",Public,Masters,2,EN,LM-90 R,European Studies,https://economia.uniroma2.it/master-science/eebl
European Legal Studies,University of Turin,Public,Masters,2,EN,LM-90 R,European Studies,http://www.europeanlegalstudies.unito.it/do/home.pl
"European policies for digital, ecological and social transitions",University of Trieste,Public,Masters,2,EN,LM-90 R,European Studies,https://degree.units.it/2-digital-ecological-social-transition
European studies,"University of Rome ""La Sapienza""",Public,Masters,2,EN,LM-90 R,European Studies,https://corsidilaurea.uniroma1.it/it/course/33468
Evolutionary biology,University of Padua,Public,Masters,2,EN,LM-6 R,Biology,https://www.unipd.it/offerta-didattica/corso-di-laurea-magistrale/scienze?tipo=LM&scuola=SC&ordinamento=2025&key=SC3000&cg=scienze
EXPLORATION AND APPLIED GEOPHYSICS,University of PISA,Public,Masters,2,EN,LM-79 R,Geophysical Sciences,https://www.dst.unipi.it/exploration-and-applied-geophysics-msc-wgf-lm.html
Fashion Studies,Alma Mater Studiorum - University of Bologna,Public,Masters,2,EN,LM-65 R,Performing Arts and Multimedia Production,http://corsi.unibo.it/2cycle/FashionStudies
Fashion theory and practices,"University of Rome ""La Sapienza""",Public,Masters,2,EN,LM-65 R,Performing Arts and Multimedia Production,https://corsidilaurea.uniroma1.it/it/course/33553
Finance,University of Siena,Public,Masters,2,EN,LM-16 R,Finance,https://finance.unisi.it/it
Finance,University of Pavia,Public,Masters,2,EN,LM-16 R,Finance,http://finance.cdl.unipv.it
Finance and Banking,"University of Rome ""Tor Vergata""",Public,Masters,2,EN,LM-16 R,Finance,https://economia.uniroma2.it/master-science/financeandbanking
Finance and Economics,University of Milan,Public,Masters,2,EN,LM-16 R,Finance,https://mef.cdl.unimi.it/en
Finance and Insurance,University of Calabria,Public,Masters,2,EN,LM-16 R,Finance,https://corsi.unical.it/lm/finance-and-insurance/
Finance and risk management,University of Florence,Public,Masters,2,EN,LM-16 R,Finance,http://www.frm.unifi.it
Physics,Insubria University of Varese-Como,Public,Masters,2,EN,LM-17 R,Physics,http://www.uninsubria.it/magistrale-fisica
Physics,University of L'Aquila,Public,Masters,2,EN,LM-17 R,Physics,https://dsfc.univaq.it/it/offerta-formativa-fisica.html
Physics,University of Trento,Public,Masters,2,EN,LM-17 R,Physics,https://corsi.unitn.it/it/fisica-magistrale
Physics,University of Camerino,Public,Masters,2,EN,LM-17 R,Physics,https://didattica.unicam.it/Guide/PaginaCorso.do?corso_id=10027
Innovazione e Gestione degli Alimenti e delle Bevande,Polytechnic University of Marche,Public,Masters,2,EN,LM-70 R,Food Science and Technology,https://www.d3a.univpm.it/lm_fabiam.2526
Food and Health,University of Padua,Public,Masters,2,EN,LM-61 R,Human Nutrition Sciences,https://www.unipd.it/offerta-didattica/corso-di-laurea-magistrale/agraria-e-medicina-veterinaria?tipo=LM&scuola=AV&ordinamento=2025&key=AV2879&cg=scienze-agrarie-forestali-e-al
